name,name_zh,latitude,longitude,source
Panarukan,巴那鲁干,-7.682347,113.966436,wikidata
Pancoran,班芝兰,-6.247443,106.840708,wikidata
Pandeglang,板底兰,-6.315110,106.118185,osm
Pangalengan,邦加蓮安,-7.201901,107.571572,wikidata
Pangandaran,庞岸达兰,-7.648402,108.650547,wikidata
Pasar Minggu,巴剎明古,-6.288259,106.831058,wikidata
Pasar Rebo,勒波市场,-6.321571,106.858876,wikidata
Payakumbuh,巴耶貢布,-0.185060,100.587851,naer
Pemalang,八馬蘭,-6.919901,109.375220,wikidata
Pemangkat,邦戛,1.166351,108.981311,wikidata
Penjaringan,本查靈岸,-6.095632,106.781007,wikidata
Pesanggrahan,貝桑加拉罕,-6.243316,106.753792,wikidata
Peureulak,波腊,4.794758,97.888102,wikidata
Pontianak Kota,坤甸市中心,-0.023667,109.334305,wikidata
Pulau Maya,馬亞卡里馬塔島,-1.037320,109.556360,wikidata
Purwakarta,普哇加达,-5.991648,106.038596,wikidata
Purwakarta,普哇加达,-6.543651,107.453166,wikidata
Purwodadi,葡萄野里,-3.112322,102.977034,osm
Purwodadi,葡萄野里,-7.107808,110.917820,osm
Purwodadi,葡萄野里,-7.810261,112.731586,osm
Purwodadi,葡萄野里,-7.837673,109.999233,osm
Raba,拉巴,-8.479035,118.768954,naer
Rangkasbitung,兰加士勿洞,-6.353362,106.268223,wikidata
Rembang,林邦,-6.715763,111.357964,naer
Rembang,林邦,-7.312252,109.509598,naer
Rembang,林邦,-7.645883,112.803072,naer
Rengasdengklok,冷卡斯登歌羅,-6.178788,107.292923,wikidata
Rengat,冷岳,-0.371846,102.546344,naer
Sajingan Besar,沙依岸勿剎,1.658159,109.591951,wikidata
Salatiga,沙拉迪加,1.122422,109.039422,wikidata
Samalantan,白芒頭,0.779658,109.234407,osm
Sambas,三发,1.355313,109.306967,wikidata
Sampang,三邦,-7.178099,113.251653,wikidata
Sampang,三邦,-7.581107,109.204524,wikidata
Sandai,仙台,-1.172105,110.558386,wikidata
Sanggau Ledo,華莪,1.157994,109.666367,osm
Sangkulirang,桑庫利朗,1.042866,117.935713,naer
Sawah Besar,沙哇勿刹,-6.153245,106.833118,wikidata
Sebawi,芒桔頭,1.306499,109.238005,wikidata
Segedong,米倉,0.210164,109.214409,wikidata
Selakau,文島宜,1.045152,109.008556,wikidata
Selebar,失剌比,-3.849536,102.345258,wikidata
Sembalun,森巴仑区,-8.366464,116.486489,wikidata
Semparuk,三巴洛,1.137547,109.058840,wikidata
Senen,老巴剎,-6.183486,106.846320,wikidata
Sepauk,昔巴沃,-0.119583,111.206375,wikidata
Serang,西冷,-6.112274,106.163404,osm
Setiabudi,史迪亚布迪,-6.213800,106.826965,wikidata
Siborongborong,錫博龍博龍,2.204500,99.003271,wikidata
Simpang Hilir,盛頒,-1.085049,109.972549,wikidata
Simpang Hulu,峇來,-0.610204,110.368648,wikidata
Singkawang Tengah,中山口洋區,0.922500,108.998337,wikidata
Sintang,新当,0.071650,111.504364,wikidata
Situbondo,詩都文羅,-7.702270,113.992511,osm
Sleman,士列曼縣,-7.692182,110.343834,wikidata
Soreang,梭里昂,-4.001710,119.638781,wikidata
Soreang,梭里昂,-7.041175,107.524274,wikidata
Sorong,梭隆,-0.876448,131.283334,naer
Sorong,梭隆,-0.933042,131.404796,naer
Stabat,司达瓦,3.752949,98.470961,wikidata
Subang,蘇橫,-6.560659,107.769046,wikidata
Subang,蘇橫,-7.126929,108.537248,wikidata
Sugio,蘇吉歐,-7.177620,112.272687,naer
Sukabumi,蘇加武眉,-5.412661,105.305566,naer
Sukabumi,蘇加武眉,-6.879921,106.936384,naer
Sukadana,蘇卡達納,-1.252112,110.007191,naer
Sukadana,蘇卡達納,-5.066927,105.571891,naer
Sukadana,蘇卡達納,-7.262872,108.437194,naer
Sukarami,苏卡拉美区,-2.912864,104.720675,wikidata
Sukawati,苏卡瓦地,-8.600760,115.270482,wikidata
Sungai Ambawang,雙溪安峇旺,-0.048031,109.529029,wikidata
Sungai Kakap,咬呷,-0.094552,109.173221,wikidata
Sungai Kunyit,石山 (喃吧哇縣),0.495157,108.930464,wikidata
Sungai Limau,桑該·里茂,-0.506131,100.070902,wikidata
Sungai Pinyuh,松柏港,0.277950,109.073054,wikidata
Sungai Pua,双溪普洱,-0.366906,100.402341,wikidata
