longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
120.93333,24.63333,臺灣,苗栗縣,三灣鄉,"",""
120.68333,22.8,臺灣,屏東縣,三地門鄉,"",""
120.76667,24.38333,臺灣,苗栗縣,三義鄉,"",""
121.65,24.68333,臺灣,宜蘭縣,三星鄉,"",""
121.4,24.88333,臺灣,新北市,三峽區,"",""
121.48333,25.06667,臺灣,新北市,三重區,六福里,""
121.51667,25.23333,臺灣,新北市,芝柏山莊,三芝區,八賢里
120.45,23.98333,臺灣,彰化縣,埔鹽鄉,"",""
120.18333,23.38333,臺灣,嘉義縣,布袋鎮,"",""
120.93333,23.98333,臺灣,南投縣,埔里鎮,"",""
120.53333,23.96667,臺灣,彰化縣,埔心鄉,"",""
120.25,23.45,臺灣,嘉義縣,朴子市,"",""
120.61444,22.49555,臺灣,屏東縣,來義鄉,"",""
121.21667,24.93333,臺灣,桃園市,新貴里,"",""
119.61138,23.57111,臺灣,澎湖縣,湖西鄉,"",""
121.51667,25.15,臺灣,臺北市,北投區,泉源里,""
120.53333,23.86667,臺灣,彰化縣,北斗鎮,"",""
121.06667,24.68333,臺灣,新竹縣,北埔鄉,"",""
121,22.76667,臺灣,臺東縣,卑南鄉,"",""
120.13333,23.28333,臺灣,臺南市,"","",""
120.28333,23.6,臺灣,雲林縣,北港鎮,"",""
121.28333,24.95,臺灣,桃園市,廣興里,"",""
121,24.73333,臺灣,新竹縣,寶山鄉,"",""
121.45,25.01667,臺灣,新北市,歡仔園,板橋區,香雅里
121.4,25.15,臺灣,新北市,下罟子,八里區,訊塘里
119.58333,23.66667,臺灣,澎湖縣,白沙鄉,"",""
120.45,23.36667,臺灣,臺南市,汴頭里,"",""
121,24.68333,臺灣,新竹縣,峨眉鄉,"",""
120.58333,22.66667,臺灣,屏東縣,內埔鄉,"",""
120.46667,22.96667,臺灣,高雄市,內門區,三平里,""
121.58333,25.08333,臺灣,臺北市,內湖區,湖濱里,""
120.92704,23.83419,臺灣,南投縣,魚池鄉,"",""
121.6,25.03333,臺灣,臺北市,南港區,九如里,""
120.55,23.11667,臺灣,臺南市,關山里,"",""
120.51667,23.18333,臺灣,臺南市,灣丘里,"",""
121.01667,24.56667,臺灣,苗栗縣,南庄鄉,"",""
120.51667,22.48333,臺灣,屏東縣,南州鄉,"",""
121.65,24.46667,臺灣,宜蘭縣,南澳鄉,"",""
120.8,22.15,臺灣,屏東縣,牡丹鄉,"",""
120.23333,22.78333,臺灣,高雄市,彌陀區,下寮,""
